20 258
1 2 9
1 3 10
1 4 4
1 5 8
1 6 7
1 7 7
1 8 6
1 9 2
1 11 6
1 12 8
1 16 7
1 17 1
1 18 5
1 19 8
1 20 2
2 1 8
2 3 1
2 4 3
2 7 8
2 8 9
2 10 9
2 11 10
2 12 3
2 13 2
2 14 6
2 15 5
2 16 10
2 17 7
2 19 4
2 20 10
3 1 8
3 5 8
3 6 8
3 7 3
3 8 6
3 10 3
3 11 7
3 12 2
3 14 5
3 15 8
3 17 3
3 18 7
3 20 3
4 2 10
4 5 3
4 6 2
4 7 10
4 10 9
4 11 8
4 13 9
4 14 6
4 15 4
4 18 2
5 2 2
5 3 10
5 4 1
5 6 5
5 7 5
5 8 2
5 11 8
5 12 7
5 13 3
5 15 1
5 16 9
5 17 3
5 19 5
6 1 6
6 2 9
6 7 8
6 8 8
6 9 6
6 10 2
6 11 3
6 12 3
6 14 2
6 15 3
6 17 8
6 18 10
6 19 4
7 1 8
7 2 4
7 3 1
7 4 7
7 6 9
7 10 1
7 11 3
7 12 10
7 13 9
7 14 10
7 15 7
7 16 1
7 19 5
7 20 3
8 1 1
8 3 6
8 4 10
8 5 5
8 12 4
8 14 5
8 15 5
8 16 2
8 18 4
8 19 1
8 20 5
9 2 9
9 3 1
9 4 8
9 5 5
9 6 4
9 7 1
9 8 10
9 11 7
9 13 8
9 14 7
9 15 1
9 16 6
9 17 2
9 19 1
10 2 7
10 3 1
10 6 9
10 8 8
10 9 1
10 11 3
10 13 1
10 14 8
10 15 9
10 17 3
10 18 1
10 19 2
10 20 9
11 1 5
11 3 4
11 4 1
11 5 3
11 7 1
11 10 4
11 12 1
11 13 8
11 14 7
11 17 2
11 18 7
11 19 2
11 20 9
12 3 5
12 4 7
12 5 7
12 6 5
12 7 3
12 10 9
12 13 5
12 14 1
12 15 8
12 16 1
12 18 6
12 19 7
12 20 4
13 3 10
13 4 5
13 5 10
13 6 4
13 7 10
13 8 7
13 11 1
13 12 9
13 16 6
13 17 7
13 18 7
13 19 10
14 3 4
14 4 1
14 5 10
14 6 10
14 7 2
14 9 2
14 10 10
14 12 7
14 13 10
14 15 5
14 16 10
14 17 5
14 18 2
14 19 2
15 1 2
15 3 6
15 4 5
15 6 7
15 9 3
15 10 6
15 11 4
15 12 3
15 14 8
15 16 1
15 18 1
15 19 8
15 20 9
16 1 2
16 4 1
16 5 9
16 6 2
16 8 5
16 9 9
16 11 7
16 13 10
16 14 2
16 18 4
16 19 6
17 1 10
17 2 5
17 3 1
17 4 8
17 5 1
17 6 6
17 7 6
17 8 6
17 9 8
17 11 8
17 12 10
17 15 10
17 18 2
17 19 8
17 20 9
18 1 1
18 2 10
18 3 7
18 5 1
18 7 7
18 8 10
18 9 7
18 10 7
18 13 7
18 14 2
18 15 1
18 17 2
18 19 4
18 20 8
19 2 1
19 4 4
19 6 9
19 10 8
19 11 1
19 14 1
19 15 2
19 20 3
20 1 2
20 2 2
20 4 2
20 6 6
20 8 2
20 9 1
20 10 3
20 12 4
20 13 7
20 14 9
20 16 4
20 17 7
20 18 3
20 19 2
